,CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyality_level,Cluster_2,Cluster_3,Cluster_5
0,12346.0,326,2,1.0,3,3,3,333,9,2,0,1,2
1,12347.0,3,182,4310.000000000001,1,1,1,111,3,0,0,0,0
2,12348.0,76,31,1797.24,2,2,1,221,5,0,0,0,0
3,12349.0,19,73,1757.5500000000002,1,1,1,111,3,0,0,0,0
4,12350.0,311,17,334.40000000000003,3,3,3,333,9,2,0,1,2
5,12352.0,37,95,1545.4100000000005,2,1,1,211,4,0,0,0,0
6,12353.0,205,4,89.0,3,3,3,333,9,2,0,1,2
7,12354.0,233,58,1079.3999999999999,3,2,2,322,7,1,0,1,2
8,12355.0,215,13,459.4,3,3,2,332,8,2,0,1,2
9,12356.0,23,59,2811.43,1,2,1,121,4,0,0,0,0
10,12357.0,34,131,6207.67,2,1,1,211,4,0,0,0,0
11,12358.0,2,19,1168.06,1,3,1,131,5,0,0,0,0
12,12359.0,8,251,6182.98,1,1,1,111,3,0,0,0,0
13,12360.0,53,129,2662.06,2,1,1,211,4,0,0,0,0
14,12361.0,288,10,189.89999999999998,3,3,3,333,9,2,0,1,2
15,12362.0,4,274,5154.58,1,1,1,111,3,0,0,0,0
16,12363.0,110,23,552.0,3,3,2,332,8,2,0,0,0
17,12364.0,8,85,1313.1000000000001,1,1,1,111,3,0,0,0,0
18,12365.0,292,23,320.68999999999994,3,3,3,333,9,2,0,1,2
19,12367.0,5,11,168.89999999999998,1,3,3,133,7,1,0,0,0
20,12370.0,52,166,3541.94,2,1,1,211,4,0,0,0,0
21,12371.0,45,63,1887.96,2,2,1,221,5,0,0,0,0
22,12372.0,72,52,1298.0400000000002,2,2,1,221,5,0,0,0,0
23,12373.0,312,14,364.6,3,3,3,333,9,2,0,1,2
24,12374.0,26,33,742.93,2,2,2,222,6,1,0,0,0
25,12375.0,3,18,455.42,1,3,2,132,6,1,0,0,0
26,12377.0,316,77,1628.12,3,1,1,311,5,0,0,1,2
27,12378.0,130,219,4008.62,3,1,1,311,5,0,0,0,0
28,12379.0,82,41,850.29,2,2,2,222,6,1,0,0,0
29,12380.0,22,105,2720.56,1,1,1,111,3,0,0,0,0
30,12381.0,5,91,1803.96,1,1,1,111,3,0,0,0,0
31,12383.0,185,100,1839.3100000000002,3,1,1,311,5,0,0,1,2
32,12384.0,29,30,566.16,2,2,2,222,6,1,0,0,0
33,12386.0,338,10,401.9,3,3,2,332,8,2,0,1,2
34,12388.0,16,100,2780.6600000000003,1,1,1,111,3,0,0,0,0
35,12390.0,80,32,549.84,2,2,2,222,6,1,0,0,0
36,12391.0,22,93,439.66,1,1,2,112,4,0,0,0,0
37,12393.0,73,64,1582.6000000000001,2,2,1,221,5,0,0,0,0
38,12394.0,64,27,1272.48,2,2,1,221,5,0,0,0,0
39,12395.0,16,159,2998.28,1,1,1,111,3,0,0,0,0
40,12397.0,36,126,2409.9000000000005,2,1,1,211,4,0,0,0,0
41,12398.0,46,85,1635.6599999999999,2,1,1,211,4,0,0,0,0
42,12399.0,120,59,1108.65,3,2,2,322,7,1,0,0,0
43,12401.0,304,5,84.3,3,3,3,333,9,2,0,1,2
44,12402.0,324,11,225.6,3,3,3,333,9,2,0,1,2
45,12403.0,50,6,409.7,2,3,2,232,7,1,0,0,0
46,12405.0,149,54,1710.3900000000003,3,2,1,321,6,1,0,1,2
47,12406.0,23,108,3280.7500000000005,1,1,1,111,3,0,0,0,0
48,12407.0,50,77,1708.1199999999997,2,1,1,211,4,0,0,0,0
